"query_holder","segment","entity_name","entity_number","registration_date","nature_of_business","entity_status","company_type","isic_classification","exact_name_match","annual_return_filed","beneficial_owner_declared","nominal_capital_ok","annual_return_reason","beneficial_owner_reason","nominal_capital_reason"
"Muchenga Resources Limited","critical_battery","MUCHENGA RESOURCES LIMITED","120220038982","12/09/2022","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","0","0","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 12/09/2024. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Muchenge African Power Traders International Limited","gemstones","MUCHENGE AFRICAN POWER TRADERS INTERNATIONAL LIMITED","120230056815","20/09/2023","Architectural and engineering activities and related technical consultancy","Active","Local Company - Limited by Shares","7110. Architectural and engineering activities and related technical consultancy","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 18/09/2024. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Muchinga Energy Resources Limited","energy_minerals","MUCHINGA ENERGY RESOURCES LIMITED","120110091383","01/04/2011","Support activities for other mining and quarrying","Active","Local Company - Limited by Shares","0990. Support activities for other mining and quarrying","True","1","1","1","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 31/12/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal capital is within the legal limit."
"Muchinga Route Multi-purpose Co-operative Society Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mudiwa Resources Limited","gemstones","MUDIWA RESOURCES LIMITED","120230055193","18/08/2023","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","1","1","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 24/07/2026. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mufumbwe Mining Multi-purpose Co-operative Society Limited","critical_battery","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mufwashi Mining and Resources Limited","gemstones","MUFWASHI MINING AND RESOURCES LIMITED","120200000568","22/01/2020","Other mining and quarrying n.e.c.","Active","Local Company - Limited by Shares","0899. Other mining and quarrying n.e.c.","True","1","0","0","Annual returns have been prepared and lodged in accordance with section 270 of the Companies Act. The next annual return will be due on 22/01/2027. ","Your company has not complied with the requirement to disclose information on the beneficial ownership of all the shares held by shareholders in your company as per sections 21 and 123 of the Companies Act. ","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
"Mufwashi Mining Cooperative Society Limited","gemstones","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mufwashi New Multi-purpose Co-operative Society Limited","gold","","","","","NO_REGISTRY_MATCH","","","False","","","","","",""
"Mugla Mining Investment Zambia Limited","critical_battery","MUGLA MINING INVESTMENT ZAMBIA LIMITED","120210024246","26/11/2021","Mining of iron ores","Active","Local Company - Limited by Shares","0710. Mining of iron ores","True","0","1","0","The required annual returns have not been filed within ninety days from the end of the previous financial year, as per section 12 of the Registration of Business Names Act. Our records indicate that the last annual return was made up to 26/11/2023. ","Beneficial ownership has been declared in accordance with the law.","The current nominal share capital is below the required prescribed minimum nominal share of K20000. You are therefore required to increase the share capital to K20000 or more."
