"name","licence_type","town","expiry"
"PECAMO LOGISTICS AND SUPPLIES LIMITED","Final clearance only","NDOLA","31.12.2025"
"PECLA LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PECULIAR FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"PEGA FREIGHT SERVICES LIMIT-","Final clearance only","NAKONDE","31.12.2024"
"PEGMA INVESTMENTS AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"PEMICHE FREIGHT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PENDOCK CUSTOMS AND FORWARDING CONSULTANTS","Final clearance only","CHIRUNDU","31.12.2025"
"PENTAGRAND CONSORTIUM LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PERAFA LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2024"
"PERFORMALLY GREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PHALERO INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"PHERUNA FREIGHT ZAMBIA LIMITED","Final clearance only","NDOLA","31.12.2026"
"PHIKAYA LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"PHIL LOGISTICS LIMITED","Final clearance only","CHOMA","31.12.2025"
"PHILI LOGISTICS LIMITED","Final clearance only","CHOMA","31.12.2025"
"PHILNET CONNECTIONS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PHOEMA CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PLANET FREIGHT AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"POINTPIN VIEW LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"POLYTRA ZAMBIA LIMITED","Final clearance only","KITWE","31.12.2026"
"PORTCARGO INTERNATIONAL LIMITED","Final clearance only","MPULUNGU","31.12.2026"
"PORTLAND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PORTNET CARGO MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PORTVIEW ZAMBIAN LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"POTENTIAL LINK CLEARING AND FORWARDING","Final clearance only",,"31.12.2026"
"POWEREST INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PRAISENET LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"PRECISE CLEARING AND GENERAL WORKS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PREMIUM FREIGHT AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PRIBWATH INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2026"
"PRIDENET FREIGHT ZAMBIA LIMITED","Final clearance only",,"31.12.2026"
"PRIMACS INVESTMENTS LIMITED","Final clearance only","KITWE","31.12.2024"
"PRIMAT LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2024"
"PRIME DEALER NET ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PRIMEJO CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2026"
"PRIMELANE CARGO LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PRIMETIME INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PRINCIPAL FREIGHT LIMITED","Full licence","NDOLA","31.12.2026"
"PRINCIPAL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PRINCO CARGO AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"PRISHA LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PRISM PALMY SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PRISMAT LOGISTICS LIMITED","Final clearance only","MUMBWA","31.12.2024"
"PRISTINE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PRO AFRICA LOGISTICS ZAMBIA LIMITED RIB","Final clearance only","LUSAKA","31.12.2024"
"PROCET FREIGHT CARGO LIMITED","Final clearance + RIT","LUSAKA","31.12.2024"
"PROCET FREIGHT LOGISTICS LIMITED","Final clearance only",,"31.12.2026"
"PROFLIGHT COMMUTER SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2026"
"PROMATICS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PROMINENT SERVICES LIMITED","Final clearance only","NDOLA","31.12.2025"
"PROPACHI FREIGHT LIMITED","Final clearance only","NAKONDE","31.12.2024"
"PROPERLANE CARGO LOGISTICS LIMITED","Final clearance only","LUANSHYA","31.12.2026"
"PROSPECT FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PROSPER LOGISTICSLIMITED","Final clearance only","LUANSHYA","31.12.2026"
"PROSPERLIDAH LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"PRUDENTIAL BUSINESS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"PUSHLINE BUSINESS VENTURES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"PYRAMIDIX LOGISTICS LIMITED","Full licence","LUSAKA","31.12.2024"
"PYRAMIDS CARGO FREIGHT LIMITED ONLY LUSAKA","Final clearance only",,"31.12.2025"
"QENN CARGO LIMITED","Final clearance only","KASAMA","31.12.2026"
"QNINE TRADING LIMITED","Final clearance only","SESHEKE","31.12.2025"
"QUALITY LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"QUEENS LANDING CARGO AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"QUICK SHIPPING CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2025"
"QYUVRA CRAGO LIMITED","Final clearance only",,"31.12.2026"
"R + L CUSTOMS CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"RABIFA CLEARING AND LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"RACJOSE INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RACLINK INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RACTECH BUSINESS SOLUTIONS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RADIANT INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"RADURA CORPORATION LIMITED","Final clearance only","LUSAKA","31.12.2026"
"RANDFORCE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"RAPID SOAR LOGISTICS LIMITED","Final clearance only","CHIPATA","31.12.2024"
"RAW CARGO ZAMBIA LIMITED","Full licence","LUSAKA","31.12.2025"
"RAYJUAN INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"REALLINK FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"REAL-TIME FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"REANK CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2024"
"RECAD FREIGHT CONSULTANCY LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"RED DAWN LOGISTICS LIMITED","Full licence","LIVINGSTONE","31.12.2025"
"REFLECTIONS SHIPPING SERVICES","Final clearance only","NAKONDE","31.12.2024"
"REGENT CARGO SERVICES LIM-","Final clearance only","LIVINGSTONE","31.12.2024"
"REGINAL GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"REHOBOTH GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"REIGN FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"RELIABLE FREIGHT SERVICES","Final clearance only","LIVINGSTONE","31.12.2026"
"REM CARGO CINVEYORS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"REPRO INVESTMENTS ZAMBIA LIMITED","Final clearance only",,"31.12.2025"
"RHODES LOGISTICS LIMITED","Full licence","KAFUE","31.12.2026"
"RICHEL LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2026"
"RIDER COMPANY LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RIDGEWOOD LOGISTICS","Final clearance only","LUSAKA","31.12.2026"
"RIGHT TIME LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"RINAMET ENTERPRISES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"RING CARGO LIMITED","Final clearance only","LUSAKA","31.12.2024"
"RING FREIGHT ENTERPRISES","Final clearance only","CHIRUNDU","31.12.2024"
"RM AND C ENTERPRISES LIMITED","Final clearance only","NDOLA","31.12.2025"
"RMP TRADING LIMITED","Final clearance only","CHINGOLA","31.12.2026"
"ROAD EXPORT CARGO LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ROAD SHOPPERS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"ROAD WHEELS CARGO CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"ROADSIDE INVESTMENTS LIMITED","Final clearance only","SIAVONGA","31.12.2025"
"ROADWORTHY CARGO SERVICES","Final clearance only","MUMBWA","31.12.2026"
"ROBOSY FREIGHT AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2024"
"ROC ROS GENERAL DEALERS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2024"
"ROCKMID LIMITED","Final clearance only","MUMBWA","31.12.2024"
"ROCKSTAR LOGISTICS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ROD GENERAL DEALERS AND SUPPLIERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ROMBADO CLEARING AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ROMEMA INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"RONATA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ROPRUD LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"ROSEBURTON INVESTMENTS LIMITED","Final clearance only","CHILILABOMBWE","31.12.2025"
"ROSEWELL LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"ROTLHE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"ROYAL CHORDS LOGISTICS LIMITED","Final clearance only","KAZUNGULA","31.12.2026"
"ROYAL MAIL LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"ROYAL PERFECT LOGISTICS LIMITED","Final clearance only","MUFULIRA","31.12.2025"
"ROYPAH LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"RSSM CLEARING AND FORWARDING LIMITED","Final clearance only","KAZUNGULA","31.12.2025"
"RUHETO INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"RUMARTS FREIGHT LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"RUNGWE EXPRESS ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2026"
"RUST LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"RUTMOS CARGO LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RYNATY LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"RYZURE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SAABEL CONTRACTORS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SABICAR INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SAFARI DIRECT MARKETING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SAFE HAND CLEARING AND GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"SAIFAITH CLEARING AND FORWARDING LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SAIPRIS CARGO LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SAJIMAX LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"SALOHA INVESTMENTS LIMITED","Final clearance only",,"31.12.2026"
"SAMBANAYO CARGO LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SAMLO INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SAMTRE LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"SANB CARGO AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SANCHEAL LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SANGWANI CARGO SERVICES","Final clearance only","LUSAKA","31.12.2025"
"SANTE CLEARING LIMITED","Final clearance only","NAKONDE","31.12.2024"
"SARIC ENTERPRISES (PTY)","Final clearance only","LUSAKA","31.12.2024"
"SAVEJA INVESTMENT LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SAVENDA EAGLE CLEARING AND FORWARDING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SCAPULAR CLEARING AND FORWARDING LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"SCARLET LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SEA FORCE LOGISTICS LIMITED","Final clearance only","CHILANGA","31.12.2026"
"SEAGULL FREIGHT AND LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2024"
"SEALINE CARGO AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SEASIDE FREIGHT LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"SEATRACK INVESTMENT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SEBENZA CORPORATION","Final clearance only","NDOLA","31.12.2026"
"SECURE FREIGHT ANCHOR ZAMBIA LIMITED","Final clearance only",,"31.12.2026"
"SEK ZAMBIA LIMITED","Final clearance only","NDOLA","31.12.2025"
"SENGASIL INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SET APART GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SETHVECIOUS LOGISTICS LIMITED","Final clearance only","MUFULIRA","31.12.2026"
"SEVENKEYS FREIGHT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SHADLINX GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"SHALODAN INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SHAMIL CLEARING AND FORWARDING LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"SHARKWORLD FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SHARP BROKERS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SHEBRIA CLEARING AND FORWARDING LIMITED","Final clearance only","CHINGOLA","31.12.2026"
"SHEIZ ENTERPRISES LIMITED","Final clearance only","NDOLA","31.12.2024"
"SHELTON FREIGHT ZAMBIA LIMITED","Full licence","LUSAKA","31.12.2024"
"SHIKULU CLEARING AND FORWARDING LIMITED","Final clearance only","KAZUNGULA","31.12.2024"
"SHINE GATE SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SHREVEPORT FREIGHT ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SHYBABY LOGISTICS LIMITED","Final clearance only","SESHEKE","31.12.2024"
"SIBROS INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SIDACHI AND LOGISTICS LIMITED","Final clearance only",,"31.12.2025"
"SIKAM LOGISTICS LIMITED","Final clearance + RIT","NAKONDE","31.12.2026"
"SIKASI INVESTMENTS LIMITED","Final clearance only","KASAMA","31.12.2025"
"SIKATT LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"SILAMA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SILMA FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SILMA SOLUTIONS LIMITED","Final clearance only","MPULUNGU","31.12.2026"
"SILO-LINK ENTERPRISES LIMITED","Final clearance only","NAKONDE","31.12.2025"
"SILVER SHIPPING SERVICES","Full licence","LUSAKA","31.12.2024"
"SILVEREST EXPRESS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SIMAGN LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2024"
"SIMELKA ENTERPRISES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SIMLEV GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SIMPEX CARGO LOGISTICS","Final clearance only",,"31.12.2026"
"SIMPLEX FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SIMSIKA ENGINEERING LIMITED","Final clearance only","KITWE","31.12.2025"
"SIMUSWIPU LOGOSTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SINAK LOGISTICS ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2024"
"SINDILAND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"SINO ZAMBIA EQUIPMENT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SINOENGINE INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SINOMA INTERNATIONAL ENGINEERING COMPANY","Final clearance only","NDOLA","31.12.2024"
"SISIMA GROUP ZAMBIA LIMITED","Final clearance only","NAKONDE","31.12.2026"
"SIWINDA CARGO SERVICE LIMITED","Final clearance only",,"31.12.2026"
"SKYLINE CARGO SERVICES LIM-","Final clearance only","LUSAKA","31.12.2024"
"SKYLINKY LOGISTICS LIMITED","Final clearance only","SESHEKE","31.12.2025"
"SKYLITE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SKYSAVE LOGISTICS LIMITED","Final clearance only","LUANSHYA","31.12.2026"
"SLS CLEARING LIMITED","Full licence","LUSAKA","31.12.2025"
"SM BURHANI LIMITED","Full licence","LUSAKA","31.12.2026"
"SMART WORK LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"SMARTLIGHT TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SMARTLOG BUSINESS SOLUTION LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SMARTWIZE CARGO FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SMOOTH MOVERS AND FREIGHT LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SMOOTHCAVE LOGISTIC LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"SNOVAM INVESTMENTS LIMITED","Final clearance only","NDOLA","31.12.2025"
"SODIZAM SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SOJOURNEY LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SOLNAKO INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SOUTHERN AFRICAN IMPORT AND EXPORT (Z) LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SOUTHNET CARGO LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SOYI INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SPEED STAR LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SPILANET GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SPLENDID CONTACT LIMITED","Final clearance only","NDOLA","31.12.2024"
"SPOT ON CARGO LIMITED","Full licence","KITWE","31.12.2024"
"SPRING HILL EXPORTEX LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SQUARE GATES INVESTMENTS LIMITED","Final clearance only","KASAMA","31.12.2026"
"SQUARE-TECH LIMITED","Final clearance only","CHIPATA","31.12.2025"
"STALOM LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"STAPHIL WORLDWIDE LINK ZAMBIA LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"STAR TREC CONSTRUCTION AND MARKETING AGENCIES LIMITED","Final clearance only","LUSAKA","31.12.2024"
"STAR VISION INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"STARLITE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"STARON ZAMBIA LIMITED","Final clearance only","CHIPATA","31.12.2024"
"STARTRUCK CLEARING AND FORWARDING LIMITED","Full licence","LUSAKA","31.12.2024"
"STATE FORWARDERS ZAMBIA LIMITED","Final clearance only",,"31.12.2026"
"STENEL EXPRESS LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"STEP ONE BUSINESS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"STESIM LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"STEVSEB GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"STILL MASTERS COMPANY","Final clearance only","SESHEKE","31.12.2025"
"STRATEGIC SERVICES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"STRETFORD END LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"STRIKING TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"STRONGFIRE LOGISTICS LIMITED","Final clearance only",,"31.12.2024"
"STUKAS EXPRESS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SUDDEN CLEARING AND FORWARDING LIMITED","Final clearance only",,"31.12.2025"
"SUED LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SUN-LINE INTERNATIONAL LOGISTICS COMPANY (Z)","Full licence",,"31.12.2026"
"SUNRAYS INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"SUNRISE CLEARING AND FORWARDING ONLY CHIRUNDU","Final clearance only","LUSAKA","31.12.2026"
"SUPER AGENTS COURIER LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SUPER XCHANGE SOLUTIONS LIMITED","Final clearance only","NDOLA","31.12.2025"
"SURF LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SURO TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"SUWINONO GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SWART LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SWIFT CLEARING AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"SWIFT PROPERTIES LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SWIRLS LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"SWIZA LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2026"
"SYCURIS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"SYLMAR LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"SYMBIOSIS FREIGHT SERVICES","Final clearance only","NDOLA","31.12.2026"
"T M LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2026"
"TACRO VENTURES AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"TAFMA GENERAL DEALERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TAGMAN INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"TAIMA CARGO MASTERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TAMANDANI CARGO SERVICES","Final clearance only","CHIRUNDU","31.12.2024"
"TAMI TRANSPORT AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TAMI TRANSPORT ANDLOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"TAMULA FREIGHT LOGISTICS LIMITED","Final clearance only","NDOLA","31.12.2025"
"TANHALL CONSTRACTORS AND GENERAL DEALERS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"TANS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TAPIWANSHE LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"TAUYA CARGO FORWARDERS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TAXON CLEARING AND FORWARDING LIMITED ONLY com ROADLUSAKA","Final clearance only",,"31.12.2024"
"TCS SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"TCV ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2025"
"TECHTRON ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2026"
"TECRA ZAMBIA INVESTMENTS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"TEDDYWAYNE SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TEMA INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"TEMBWE LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2025"
"TEMINOS SHIPPING CARGO LIMITED","Final clearance only","NAKONDE","31.12.2026"
"TENACITY FREIGHT LIMITED","Final clearance only","LIVINGSTONE","31.12.2024"
"TESTED CLEARING AND LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"THANDO LOGISTICS AND GENERAL DEALERS LIMITED","Final clearance only","KAFUE","31.12.2024"
"THE OAK FREIGHT SOLUTIONS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"THEOLAND INVESTMENTS LIMITED","Final clearance only","MUMBWA","31.12.2025"
"THEOPHANY INVESTMENTS LIMITED","Final clearance only","LIVINGSTONE","31.12.2026"
"THEOSTRANS LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"THIN LINE INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"THOSMA LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2026"
"THOUSAND OAKS LOGISTICS LIMITED","Final clearance only","KITWE","31.12.2024"
"THREE STRIPES CLEARING AND FORWARDING LIMITED RIT ONLY LIVINGSTONE","Final clearance only",,"31.12.2024"
"THRU CARGO MANAGEMENT LIMITED","Final clearance only","LUSAKA","31.12.2025"
"THUKUTA FREIGHT SERVICES","Final clearance only","LUSAKA","31.12.2024"
"TICKERS CARGO SERVICES AND","Final clearance only","CHIRUNDU","31.12.2024"
"TIKA NINETEEN TWENTY LOGSTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"TILIZ LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"TIME FRAME INVESTMENTS LIMITED","Final clearance only","MUMBWA","31.12.2026"
"TIME SLOT EXCELLENCE LIMITED","Final clearance only","NAKONDE","31.12.2026"
"TIMELINE INVESTMENTS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"TINECK CARGO AND LOGISTICS LIMITED","Final clearance only","NAKONDE","31.12.2024"
"TO AND FROM ZAMBIA LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"TONKA LOGISTICS LIMITED","Final clearance only","CHIRUNDU","31.12.2025"
"TOP CARGO AFRICAN CONVEYORS ZAMBIA LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TOP CITY INVESTMENTS LIMITED","Final clearance only","LUSAKA","31.12.2025"
"TOPLINK CARGO ZAMBIA LIMITED","Final clearance only","KASAMA","31.12.2026"
"TOPMOVERS LOGISTICS LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TOPNEAT TRADER LIMITED","Final clearance only","KASAMA","31.12.2026"
"TOPNOTCH CARGO (Z) LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TOPQUICK TRADING LIMITED","Final clearance only","LUSAKA","31.12.2024"
"TOPRATE CARGO LIMITED","Final clearance only","SESHEKE","31.12.2025"
"TOPTEAM BUSINESS SOLUTIONS LIMITED","Final clearance only","NAKONDE","31.12.2026"
"TORMIC FREIGHT AND LOGISTICS LIMITED","Final clearance only","LIVINGSTONE","31.12.2025"
"TORTUGA GENERAL DEALERS LIMITED","Final clearance only","CHIRUNDU","31.12.2026"
"TOSEK GENERAL DEALERS LIMITED","Final clearance only","NDOLA","31.12.2025"
